ReviewID,Position,Reviewer,AssociatedWith,Country,Movie,Score
182,2,Russell Baillie,The New Zealand Listener,New Zealand,"2. Life of Brian (Terry Jones, 1979)",9
183,3,Russell Baillie,The New Zealand Listener,New Zealand,"3. Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (Larry Charles, 2006)",8
184,4,Russell Baillie,The New Zealand Listener,New Zealand,"4. Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Stanley Kubrick, 1964)",7
185,5,Russell Baillie,The New Zealand Listener,New Zealand,"5. Groundhog Day (Harold Ramis, 1993)",6
186,6,Russell Baillie,The New Zealand Listener,New Zealand,"6. Dead Men Don't Wear Plaid (Carl Reiner, 1982)",5
187,7,Russell Baillie,The New Zealand Listener,New Zealand,"7. Some Like It Hot (Billy Wilder, 1959)",4
188,8,Russell Baillie,The New Zealand Listener,New Zealand,"8. Young Frankenstein (Mel Brooks, 1974)",3
189,9,Russell Baillie,The New Zealand Listener,New Zealand,"9. Raising Arizona (Joel and Ethan Coen, 1987)",2
190,10,Russell Baillie,The New Zealand Listener,New Zealand,"10. Hunt for the Wilderpeople (Taika Waititi, 2016)",1
191,1,Lindsay Baker,BBC Culture,UK,"1. The Royal Tenenbaums (Wes Anderson, 2001)",10
192,2,Lindsay Baker,BBC Culture,UK,"2. Lost in Translation (Sofia Coppola, 2003)",9
193,3,Lindsay Baker,BBC Culture,UK,"3. The Graduate (Mike Nichols, 1967)",8
194,4,Lindsay Baker,BBC Culture,UK,"4. Pulp Fiction (Quentin Tarantino, 1994)",7
195,5,Lindsay Baker,BBC Culture,UK,"5. The Discreet Charm of the Bourgeoisie (Luis Buñuel, 1972)",6
196,6,Lindsay Baker,BBC Culture,UK,"6. Get Out (Jordan Peele, 2017)",5
197,7,Lindsay Baker,BBC Culture,UK,"7. This Is Spinal Tap (Rob Reiner, 1984)",4
198,8,Lindsay Baker,BBC Culture,UK,"8. Some Like It Hot (Billy Wilder, 1959)",3
199,9,Lindsay Baker,BBC Culture,UK,"9. Toy Story 3 (Lee Unkrich, 2010)",2
200,10,Lindsay Baker,BBC Culture,UK,"10. Zoolander (Ben Stiller, 2001)",1
201,1,Nicholas Barber,BBC Culture,UK,"1. Groundhog Day (Harold Ramis, 1993)",10
202,2,Nicholas Barber,BBC Culture,UK,"2. Annie Hall (Woody Allen, 1977)",9
203,3,Nicholas Barber,BBC Culture,UK,"3. Sherlock Jr (Buster Keaton, 1924)",8
204,4,Nicholas Barber,BBC Culture,UK,"4. Back to the Future (Robert Zemeckis, 1985)",7
205,5,Nicholas Barber,BBC Culture,UK,"5. Kind Hearts and Coronets (Robert Hamer, 1949)",6
206,6,Nicholas Barber,BBC Culture,UK,"6. Some Like It Hot (Billy Wilder, 1959)",5
207,7,Nicholas Barber,BBC Culture,UK,"7. For Heaven’s Sake (Sam Taylor, 1926)",4
208,8,Nicholas Barber,BBC Culture,UK,"8. Penguins of Madagascar (Eric Darnell and Simon J Smith, 2014)",3
209,9,Nicholas Barber,BBC Culture,UK,"9. Gregory’s Girl (Bill Forsyth, 1980)",2
210,10,Nicholas Barber,BBC Culture,UK,"10. Swingers (Doug Liman, 1996)",1
211,1,Manoj Barpujari,Freelance,India,"1. Modern Times (Charlie Chaplin, 1936)",10
212,2,Manoj Barpujari,Freelance,India,"2. City Lights (Charlie Chaplin, 1931)",9
213,3,Manoj Barpujari,Freelance,India,"3. Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Stanley Kubrick, 1964)",8
214,4,Manoj Barpujari,Freelance,India,"4. Life Is Beautiful (Roberto Benigni, 1997)",7
